Feature_Name,Data_Type,Non_Null_Count,Null_Count,Completeness_%,Unique_Values,Category
Ekipman_ID,float64,3845,0,100.0,3845,Equipment Metadata
Ekipman_Kurulum_Tarihi,object,2670,1175,69.4,248,Equipment Metadata
Ekipman_Yaşı_Gün,float64,3845,0,100.0,469,Age/Life
Ekipman_Yaşı_Yıl,float64,3845,0,100.0,470,Age/Life
Yaş_Kaynak,object,2670,1175,69.4,1,Age/Life
Toplam_Arıza_Sayisi_Lifetime,int64,3845,0,100.0,27,Failure History
İlk_Arıza_Tarihi,object,2670,1175,69.4,2670,Failure History
Son_Arıza_Tarihi,object,2670,1175,69.4,2669,Failure History
Arıza_Sayısı_3ay,float64,2670,1175,69.4,7,Failure History
Arıza_Sayısı_6ay,float64,2670,1175,69.4,10,Failure History
Arıza_Sayısı_12ay,float64,2670,1175,69.4,14,Failure History
Summer_Peak_Flag_sum,int64,3845,0,100.0,14,Other
Winter_Peak_Flag_sum,int64,3845,0,100.0,9,Other
Time_To_Repair_Hours_mean,float64,2670,1175,69.4,2571,Other
Time_To_Repair_Hours_max,float64,2670,1175,69.4,2528,Other
Equipment_Class_Primary,object,3845,0,100.0,17,Equipment Metadata
Ekipman_Sınıfı,object,2670,1175,69.4,16,Equipment Metadata
Equipment_Type,object,2661,1184,69.2,9,Equipment Metadata
Kesinti Ekipman Sınıfı,object,2670,1175,69.4,6,Equipment Metadata
KOORDINAT_X,float64,2669,1176,69.4,2554,Geographic
KOORDINAT_Y,float64,2669,1176,69.4,2544,Geographic
İl,object,2670,1175,69.4,4,Other
İlçe,object,2670,1175,69.4,3,Other
Mahalle,object,2548,1297,66.3,235,Other
Urban_Customer_Ratio_mean,float64,2670,1175,69.4,205,Customer Impact
Rural_Customer_Ratio_mean,float64,2670,1175,69.4,852,Customer Impact
MV_Customer_Ratio_mean,float64,2670,1175,69.4,419,Customer Impact
Arıza_Nedeni_İlk,object,2670,1175,69.4,46,Failure History
Arıza_Nedeni_Son,object,2670,1175,69.4,46,Failure History
cause code_<lambda_0>,object,2670,1175,69.4,46,Other
urban_mv+suburban_mv_Avg,float64,2670,1175,69.4,79,Other
urban_mv+suburban_mv_Max,float64,2670,1175,69.4,37,Other
urban_lv+suburban_lv_Avg,float64,2670,1175,69.4,410,Other
urban_lv+suburban_lv_Max,float64,2670,1175,69.4,262,Other
urban_mv_Avg,float64,569,3276,14.8,38,Other
urban_mv_Max,float64,569,3276,14.8,33,Other
urban_lv_Avg,float64,569,3276,14.8,127,Other
