Feature_Name,Data_Type,Completeness_%
Ekipman_ID,float64,100.0
Ekipman_Kurulum_Tarihi,datetime64[ns],69.4
Ekipman_Yaşı_Gün,float64,100.0
Ekipman_Yaşı_Yıl,float64,100.0
Yaş_Kaynak,object,69.4
Toplam_Arıza_Sayisi_Lifetime,int64,100.0
İlk_Arıza_Tarihi,datetime64[ns],69.4
Son_Arıza_Tarihi,datetime64[ns],69.4
Arıza_Sayısı_3ay,float64,69.4
Arıza_Sayısı_6ay,float64,69.4
Arıza_Sayısı_12ay,float64,69.4
Summer_Peak_Flag_sum,int64,100.0
Winter_Peak_Flag_sum,int64,100.0
Time_To_Repair_Hours_mean,float64,69.4
Time_To_Repair_Hours_max,float64,69.4
Equipment_Class_Primary,object,100.0
Ekipman_Sınıfı,object,69.4
Equipment_Type,object,69.2
Kesinti Ekipman Sınıfı,object,69.4
KOORDINAT_X,float64,69.4
KOORDINAT_Y,float64,69.4
İl,object,69.4
İlçe,object,69.4
Mahalle,object,66.3
Urban_Customer_Ratio_mean,float64,69.4
Rural_Customer_Ratio_mean,float64,69.4
MV_Customer_Ratio_mean,float64,69.4
Arıza_Nedeni_İlk,object,69.4
Arıza_Nedeni_Son,object,69.4
cause code_<lambda_0>,object,69.4
urban_mv+suburban_mv_Avg,float64,69.4
urban_mv+suburban_mv_Max,float64,69.4
urban_lv+suburban_lv_Avg,float64,69.4
urban_lv+suburban_lv_Max,float64,69.4
urban_mv_Avg,float64,14.8
urban_mv_Max,float64,14.8
urban_lv_Avg,float64,14.8
urban_lv_Max,float64,14.8
suburban_mv_Avg,float64,14.8
suburban_mv_Max,float64,14.8
suburban_lv_Avg,float64,14.8
suburban_lv_Max,float64,14.8
rural_mv_Avg,float64,69.4
rural_mv_Max,float64,69.4
rural_lv_Avg,float64,69.4
rural_lv_Max,float64,69.4
total_customer_count_Avg,float64,69.4
total_customer_count_Max,float64,69.4
component_voltage,float64,99.9
MARKA,object,5.7
MARKA_MODEL,object,2.8
FIRMA,object,0.5
Arıza_Nedeni_Çeşitlilik,float64,69.4
Arıza_Nedeni_Tutarlılık,float64,69.4
MTBF_Gün,float64,31.6
MTBF_Lifetime_Gün,float64,69.4
Baseline_Hazard_Rate,float64,100.0
MTBF_Observable_Gün,float64,32.0
MTBF_Degradation_Ratio,float64,31.6
Is_Degrading,int64,100.0
Son_Arıza_Tarihi_Safe,datetime64[ns],69.4
Son_Arıza_Gun_Sayisi,float64,69.4
İlk_Arıza_Tarihi_Safe,datetime64[ns],69.4
Ilk_Arizaya_Kadar_Gun,float64,69.4
Ilk_Arizaya_Kadar_Yil,float64,69.4
Tekrarlayan_Arıza_30gün_Flag,int64,100.0
Tekrarlayan_Arıza_90gün_Flag,int64,100.0
EDBS_IDATE,object,30.6
EDBS_freq_pct,float64,30.6
Katman,object,30.6
Has_Failure_History,float64,30.6
Total_Faults,float64,30.6
Sebekeye_Baglanma_Tarihi,object,30.6
Güvenilirlik_Skoru,float64,30.6
voltage_level,object,30.6
Fault_Count_3M,float64,30.6
Fault_Count_12M,float64,30.6
Data_Source,object,100.0
TESIS_TARIHI,object,16.5
Fault_Count_6M,float64,30.6
Grid_Connection_Date,object,30.6
